gene	name	location	somatic	germline	tumour.type.somatic	tumour.type.germline	syndrome	tissue.type	inheritance	cancer.role	impact	chr	Mut.class	nseqs	seqlength	dN	dS	dNdS	lhM1	lhM2	lrtM1M2	padjM1M2	lhM8a	lhM8	lrtM8aM8	padjM8aM8	PSS_M2	PSS_M8	PS
AR	Androgen Receptor	X:67545147-67723841	yes	yes	prostate			E	Dom	oncogene	Mis	X	som&germ	21	892	0.4955	3.787	0.13084	-16977.543921	-16977.543921	1	1	-16866.147997	-16866.147997	1	1	0	1	No
ARHGAP26	Rho GTPase activating protein 26	5:142770762-143222446	yes	no	"AML, MDS"			L	Dom	"TSG, fusion"	"T, F, S"	5	somatic	13	815	0.148	2.6123	0.05664	-9333.683991	-9333.683991	1	1	-9292.930973	-9292.930729	0.982375587388648	1	0	1	No
ARHGEF12	RHO guanine nucleotide exchange factor (GEF) 12 (LARG)	11:120337244-120485077	yes	no	AML			L	Dom	"TSG, fusion"	T	11	somatic	25	1545	0.7725	4.3464	0.17774	-35028.901889	-35024.756457	0.00398450264380568	0.0328533519876053	-34887.490453	-34881.600113	0.00059848618289704	0.00608228981223271	0	9	Yes
ARID1A	AT rich interactive domain 1A (SWI-like)	1:26696404-26780756	yes	no	"clear cell ovarian carcinoma, RCC, breast"			E	Rec	"TSG, fusion"	"Mis, N, F, S, D, T"	1	somatic	21	2178	0.2196	2.1852	0.10049	-27780.095701	-27780.095705	1	1	-27733.012064	-27732.913419	0.656917229749936	1	0	3	No
ARID2	AT rich interactive domain 2	12:45729837-45905078	yes	no	hepatocellular carcinoma			E	Rec	TSG	"N, S, F"	12	somatic	25	1776	0.2888	2.4736	0.11674	-25944.635242	-25944.635243	1	1	-25869.751754	-25869.266533	0.324569970119593	1	0	3	No
ARNT	aryl hydrocarbon receptor nuclear translocator	1:150812021-150876567	yes	no	AML			L	Dom	"oncogene, TSG, fusion"	T	1	somatic	28	791	0.5969	4.5526	0.13111	-16305.922736	-16305.922617	0.987691324742199	1	-16211.018645	-16210.121028	0.1802897506204	0.736323560944997	0	2	No
ASPSCR1	"alveolar soft part sarcoma chromosome region, candidate 1"	17:81977648-82017323	yes	no	alveolar soft part sarcoma			M	Dom	fusion	T	17	somatic	12	540	0.8788	4.9375	0.17798	-10163.064136	-10163.064136	1	1	-10119.339566	-10119.339566	1	1	0	1	No
ATF1	activating transcription factor 1	12:50780147-50819780	yes	no	"malignant melanoma of soft parts, angiomatoid fibrous histiocytoma"			E,M	Dom	"oncogene, fusion"	T	12	somatic	28	271	0.3575	4.6135	0.07748	-4928.425158	-4928.425158	1	1	-4894.253254	-4894.176505	0.695214708539138	1	0	0	No
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase	2:215312144-215349656	yes	no	ALCL			L	Dom	fusion	T	2	somatic	27	593	0.5956	5.1274	0.11615	-14324.26415	-14324.264513	1	1	-14224.289632	-14224.289632	1	1	0	0	No
ATM	ataxia telangiectasia mutated	11:108227625-108365508	yes	yes	T-PLL	"leukaemia, lymphoma, medulloblastoma, glioma"	ataxia-telangiectasia	L,O	Rec	TSG	"D, Mis, N, F, S"	11	som&germ	28	3058	0.8401	4.3949	0.19116	-71732.660793	-71732.660793	1	1	-71403.214088	-71400.89567	0.0312926448678057	0.168825750706557	0	12	No
ATP2B3	"ATPase, Ca++ transporting, plasma membrane 3"	X:153536248-153580003	yes	no	adrenal aldosterone producing adenoma			E	Dom	TSG	O	X	somatic	27	1253	0.2789	8.9936	0.03102	-25554.696317	-25554.696623	1	1	-25399.021985	-25399.021985	1	1	0	0	No
ATR	ATR serine/threonine kinase	3:142449429-142578704	yes	yes	"endometrial, gastric, epithelial ovarian, myeloma"	oropharyngeal	familial cutaneous telangiectasia and cancer syndrome	E;L	Dom	TSG	"F; Mis"	3	som&germ	28	2645	0.5597	3.9529	0.14158	-52005.458855	-52005.458855	1	1	-51780.85455	-51780.854549	0.998871625123055	1	0	1	No
ATRX	alpha thalassemia/mental retardation syndrome X-linked	X:77508351-77786001	yes	no	"pancreatic neuroendocrine tumours, paediatric GBM"			E	Rec	TSG	"Mis, F, N"	X	somatic	21	2491	0.5932	3.9224	0.15124	-42385.092733	-42385.092733	1	1	-42206.247714	-42205.048627	0.121476970883504	0.53085436276091	0	1	No
AXIN1	axin 1	16:288122-347025	yes	no	"colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma"			E,O	Rec	TSG	"D, Mis, N, F, S"	16	somatic	23	868	0.6432	7.6644	0.08392	-19692.323745	-19692.323745	1	1	-19536.226445	-19536.226445	1	1	0	1	No
AXIN2	axin 2	17:65529976-65558620	yes	yes	"colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma"	colorectal carcinoma	oligodontia-colorectal cancer syndrome	E	Rec	TSG	"Mis, F, N"	17	som&germ	26	844	0.8389	7.6236	0.11004	-21807.874027	-21807.874027	1	1	-21610.807338	-21610.807338	1	1	0	0	No
B2M	beta-2-microglobulin	15:44711547-44716342	yes	no	"DLBCL, melanoma, colorectal adenocarcinoma"			E,L	Rec	TSG	"Mis, N, F"	15	somatic	32	120	2.9979	11.5153	0.26034	-5662.0982	-5656.684518	0.00100010919698157	0.00929888764002012	-5593.635145	-5590.896197	0.0192584259424738	0.112212428491481	1	1	Yes
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	3:52402288-52409878	yes	yes	"uveal melanoma, breast, NSCLC, RCC"	"mesothelioma, uveal melanoma"		E	Rec	TSG	"N, Mis, F, S, O"	3	som&germ	27	730	0.3428	5.3415	0.06418	-14226.202195	-14226.202023	0.985202294365108	1	-14127.916219	-14127.916219	1	1	0	0	No
BARD1	BRCA1 associated RING domain 1	2:214728676-214809569	yes	yes	breast cancer	"ovarian cancer, breast cancer, endometrioid cancer"		E		TSG	Mis	2	som&germ	25	777	1.6623	4.9981	0.33259	-23328.525998	-23324.783476	0.00622135488715936	0.0476970541348884	-23245.792413	-23240.940781	0.00183941006104282	0.0157612195426611	0	1	No
BCL10	B-cell CLL/lymphoma 10	1:85267627-85276352	yes	no	MALT			L	Dom	"TSG, fusion"	T	1	somatic	28	234	0.9171	8.3335	0.11005	-5895.60793	-5895.60793	1	1	-5879.902928	-5879.902928	1	1	0	0	No
BCL11B	B-cell CLL/lymphoma 11B  (CTIP2)	14:99174151-99271218	yes	no	T-ALL			L	Dom	"oncogene, TSG, fusion"	T	14	somatic	25	896	0.3142	6.6674	0.04713	-14889.779259	-14889.779266	1	1	-14799.354625	-14799.354625	1	1	0	0	No
BCL2	B-cell CLL/lymphoma 2	18:63128625-63318666	yes	no	"NHL, CLL"			L	Dom	"oncogene, fusion"	T	18	somatic	25	240	0.54	5.7171	0.09445	-4633.2003	-4632.391789	0.203507527632042	1	-4562.266915	-4559.082493	0.0116141229482479	0.0735561120055702	0	1	No
BCL3	B-cell CLL/lymphoma 3	19:44748791-44759615	yes	no	CLL			L	Dom	"oncogene, fusion"	T	19	somatic	23	455	1.1116	7.7779	0.14292	-11755.180276	-11755.180276	1	1	-11688.232659	-11688.232659	1	1	0	0	No
BCL6	B-cell CLL/lymphoma 6	3:187722458-187733693	yes	no	"NHL, CLL"			L	Dom	"oncogene, fusion"	"T, Mis"	3	somatic	23	707	0.2697	5.9397	0.04541	-12553.270116	-12553.270158	1	1	-12446.015305	-12446.015305	1	1	0	1	No
BCL7A	B-cell CLL/lymphoma 7A	12:122022092-122059163	yes	no	BNHL			L	Dom	fusion	T	12	somatic	23	232	1.0596	7.0749	0.14977	-6017.848316	-6017.848428	1	1	-5979.635601	-5976.137422	0.00816757213685571	0.0540792276334234	0	1	No
BCL9	B-cell CLL/lymphoma 9	1:147611837-147624864	yes	no	B-ALL			L	Dom	"oncogene, fusion"	T	1	somatic	22	1427	0.2986	2.7675	0.10789	-22472.250608	-22472.250608	1	1	-22437.596325	-22437.596652	1	1	0	4	No
BCL9L	B-cell CLL/lymphoma 9-like	11:118898415-118909939	yes	no	"colorectal cancer, endometrial carcinoma, gastric cancer"			E		"oncogene, TSG"	"Mis, F"	11	somatic	19	1498	0.4208	4.2652	0.09866	-24680.867312	-24680.868017	1	1	-24579.505999	-24578.86237	0.256553881880256	0.926562366790678	0	2	No
BCOR	BCL6 corepressor	X:40052109-40077929	yes	no	"retinoblastoma, AML, APL (translocation)"				Rec	"TSG, fusion"	"F, N, S, T"	X	somatic	20	1759	0.8258	6.3025	0.13103	-41407.638794	-41407.638925	1	1	-41193.713487	-41193.713487	1	1	0	1	No
BCR	breakpoint cluster region	22:23180961-23315522	yes	no	"CML, ALL, AML"			L	Dom	fusion	T	22	somatic	19	1273	0.2417	6.0159	0.04018	-19267.171405	-19267.171405	1	1	-19100.262269	-19100.262269	1	1	0	0	No
BIRC3	baculoviral IAP repeat-containing 3	11:102324510-102337102	yes	no	"CLL, MALT, MCL, MM"			L	Dom	"oncogene, TSG, fusion"	"D, F, N, T, Mis"	11	somatic	22	605	1.149	6.6639	0.17242	-16304.560972	-16304.560972	1	1	-16169.191313	-16180.592982	1	1	0	0	No
BLM	Bloom Syndrome	15:90747393-90815279	no	yes		"leukaemia, lymphoma, skin squamous cell, other tumour types"	Bloom syndrome	L,E	Rec	TSG	"Mis, N, F"	15	germinal	27	1420	1.4223	5.3869	0.26403	-40206.123246	-40189.591528	8.92004969887950e-09	2.05161143074228e-07	-39967.24509	-39952.884643	8.35969155010829e-08	1.90135203847475e-06	3	2	Yes
BMPR1A	"bone morphogenetic protein receptor, type IA"	10:86876019-86923719	no	yes		gastrointestinal polyps	juvenile polyposis	E	Rec	"oncogene, TSG"	"Mis, N, F"	10	germinal	28	533	0.3754	5.432	0.0691	-11309.317715	-11309.317715	1	1	-11239.371751	-11239.371751	1	1	0	0	No
BRAF	v-raf murine sarcoma viral oncogene homolog B1	7:140734597-140924703	yes	no	"melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric"			E,O	Dom	"oncogene, fusion"	"Mis, T, O"	7	somatic	26	803	0.269	3.3865	0.07943	-12463.855168	-12456.452032	0.000119138603442703	0.00118326294782867	-12410.534772	-12400.667946	8.90199213587906e-06	0.000144080391236265	1	5	Yes
BRCA2	familial breast/ovarian cancer gene 2	13:32316461-32398770	yes	yes	"breast, ovarian, pancreatic"	"breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)"	hereditary breast/ovarian cancer	L,E	Rec	TSG	"D, Mis, N, F, S"	13	som&germ	27	3451	2.6562	5.6801	0.46763	-119199.484615	-119098.969526	0	0	-118892.343872	-118808.127138	0	0	16	25	Yes
BRD3	bromodomain containing 3	9:134033590-134053477	yes	no	lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	9	somatic	31	727	0.4651	9.725	0.04782	-17812.330531	-17812.330618	1	1	-17628.017633	-17628.017633	1	1	0	0	No
BRD4	bromodomain containing 4	19:15249280-15273099	yes	no	lethal midline carcinoma of young people			E	Dom	"oncogene, fusion"	T	19	somatic	22	1363	0.6828	8.6451	0.07898	-27566.108225	-27566.108225	1	1	-27259.487763	-27259.487762	0.998871621018033	1	0	0	No
BRIP1	BRCA1 interacting protein C-terminal helicase 1	17:61683296-61861539	no	yes		"AML, leukaemia, breast"	"Fanconi anaemia J, breast cancer susceptiblity"	L,E	Rec	TSG	"F, N, Mis"	17	germinal	27	1253	1.2956	4.5324	0.28585	-31641.25048	-31630.074016	2.26866897823363e-06	3.09815107340031e-05	-31530.743629	-31520.10559	3.97663277662552e-06	6.68380201302059e-05	4	0	Yes
BTK	Bruton agammaglobulinemia tyrosine kinase	X:101349885-101375284	yes	no	"CLL, mantle cell lymphoma, WM"			L	Dom	"oncogene, TSG"	Mis	X	somatic	27	660	0.2244	4.4861	0.05002	-11649.472014	-11649.472015	1	1	-11611.60033	-11611.60033	1	1	0	0	No
BUB1B	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	15:40161221-40220759	no	yes		rhabdomyosarcoma	mosaic variegated aneuploidy	M	Rec	TSG	"Mis, N, F, S"	15	germinal	26	1060	1.4138	5.2956	0.26698	-28180.433953	-28180.433952	0.998871621018033	1	-28075.244051	-28066.2137	2.13972489199188e-05	0.000283351447818318	1	2	Yes
CALR	calreticulin	19:12938680-12943913	yes	no	"MPN, MDS"			L	Dom	oncogene	"F, Mis"	19	somatic	28	418	0.3809	10.6115	0.03589	-9000.141656	-9000.141656	1	1	-8880.939405	-8880.939405	1	1	0	0	No
CAMTA1	calmodulin binding transcription activator 1	1:6785531-7766491	yes	no	epithelioid haemangioendothelioma			M	Dom	"TSG, fusion"	T	1	somatic	23	1665	0.4542	5.5277	0.08216	-30987.656054	-30987.6563	1	1	-30740.060954	-30740.042897	0.849280263511571	1	1	5	No
CANT1	calcium activated nucleotidase 1	17:78993550-78997622	yes	no	prostate			E	Dom	fusion	T	17	somatic	29	402	1.0085	13.6556	0.07386	-11811.250406	-11811.250406	1	1	-11580.587387	-11580.587387	1	1	0	0	No
CARD11	"caspase recruitment domain family, member 11"	7:2906638-2958506	yes	no	DLBCL			L	Dom	oncogene	Mis	7	somatic	23	1155	0.4616	10.7196	0.04306	-22673.878212	-22673.878215	1	1	-22372.590676	-22372.590676	1	1	0	1	No
CARS	cysteinyl-tRNA synthetase	11:3001114-3057367	yes	no	ALCL			L	Dom	"TSG, fusion"	T	11	somatic	22	832	0.8008	8.9461	0.08951	-19898.26613	-19898.26613	1	1	-19708.880118	-19708.880118	1	1	0	1	No
CASP8	"caspase 8, apoptosis-related cysteine peptidase"	2:201266487-201286594	yes	no	"hepatocellular, oral squamous cell, breast"			E	Rec	TSG	"N, S, F"	2	somatic	22	480	2.0884	5.7561	0.36282	-15016.648138	-14972.452883	0	0	-14943.372598	-14911.15372	9.99200722162641e-16	5.45813394481343e-14	10	9	Yes
CBFA2T3	"core-binding factor, runt domain, alpha subunit 2; translocated to, 3 (MTG-16)"	16:88876976-88976807	yes	no	AML			L	Dom	"TSG, fusion"	T	16	somatic	24	634	0.8026	10.2783	0.07809	-16544.735825	-16544.735825	1	1	-16374.904022	-16374.435962	0.33327767999858	1	0	2	No
CBL	Cas-Br-M (murine) ecotropic retroviral transforming	11:119206418-119299781	yes	no	"AML, JMML, MDS"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, Mis, S, O"	11	somatic	21	914	0.4762	3.7442	0.12717	-15504.073715	-15504.073715	1	1	-15409.849694	-15409.849695	1	1	0	0	No
CBLB	Cas-Br-M (murine) ecotropic retroviral transforming sequence b	3:105658970-105867577	yes	no	AML			L	Rec	TSG	"Mis, S"	3	somatic	30	984	0.3439	5.0712	0.06781	-20362.182034	-20362.182034	1	1	-20249.236641	-20249.236641	1	1	0	0	No
CBLC	Cas-Br-M (murine) ecotropic retroviral transforming sequence c	19:44777932-44800443	yes	no	AML			L	Rec	"oncogene, TSG"	M	19	somatic	17	500	0.9011	4.2623	0.21142	-10018.640263	-10018.640263	1	1	-9977.544832	-9975.844541	0.0651734199591453	0.323645278660755	0	0	No
CCDC6	coiled-coil domain containing 6	10:59792917-59906424	yes	no	"papillary thyroid, CML, NSCLC"			E	Dom	"TSG, fusion"	T	10	somatic	26	475	0.1996	5.953	0.03352	-7659.126002	-7659.126002	1	1	-7580.830685	-7580.780297	0.750900383603672	1	0	0	No
CCNB1IP1	"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase"	14:20311550-20316523	yes	no	leiomyoma			M	Dom	"TSG, fusion"	T	14	somatic	25	278	0.5209	4.3355	0.12015	-5258.711837	-5258.711837	1	1	-5242.10499	-5242.10499	1	1	0	0	No
CCND1	cyclin D1	11:69641314-69651282	yes	no	"CLL, B-ALL, breast"			L,E	Dom	"oncogene, fusion"	T	11	somatic	24	296	0.4281	10.6708	0.04012	-5579.37731	-5579.377325	1	1	-5532.512439	-5533.290456	1	1	0	0	No
CCND2	cyclin D2	12:4274041-4300009	yes	no	"NHL,CLL"			L	Dom	"oncogene, fusion"	T	12	somatic	28	290	0.357	10.903	0.03274	-5771.895847	-5771.895847	1	1	-5706.562312	-5706.562312	1	1	0	0	No
CCND3	cyclin D3	6:41935940-41941649	yes	no	MM			L	Dom	"oncogene, fusion"	T	6	somatic	23	293	0.4421	5.0995	0.08669	-5457.069246	-5455.457124	0.0725552912505245	0.503280353594908	-5432.416368	-5427.604647	0.00192109350153946	0.0158399596259008	1	2	No
CCNE1	cyclin E1	19:29812556-29823777	yes	no	serous ovarian			E	Dom	oncogene	A	19	somatic	28	411	1.0859	7.1861	0.15112	-11412.835735	-11412.835734	0.998871621018033	1	-11339.809938	-11339.809938	1	1	0	0	No
CD274	CD274 molecule	9:5456114-5467862	yes	no	"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	9	somatic	29	291	2.4562	5.2874	0.46453	-10708.306162	-10664.907378	0	0	-10674.689555	-10639.739773	1.11022302462516e-16	8.08612436268656e-15	6	6	Yes
CD79A	"CD79a molecule, immunoglobulin-associated alpha"	19:41877305-41880980	yes	no	"DLBCL, WM"			L	Dom	oncogene	S	19	somatic	26	226	1.6977	6.6998	0.25339	-7172.318296	-7138.783049	2.22044604925031e-16	9.70334923522387e-15	-7099.648226	-7078.878406	1.15504938946742e-10	3.88274294767126e-09	5	7	Yes
CD79B	"CD79b molecule, immunoglobulin-associated beta"	17:63929226-63932261	yes	no	"DLBCL, WM"			L	Dom	oncogene	"Mis, S"	17	somatic	22	229	2.2651	8.233	0.27513	-7769.44409	-7756.976367	5.9282369357927e-07	8.93323979634968e-06	-7710.500123	-7704.434946	0.000496077022472008	0.00516156330524446	2	3	Yes
CDC73	cell division cycle 73	1:193122201-193250712	yes	yes	parathyroid adenoma	"parathyroid adenoma, multiple ossifying jaw fibroma"	hyperparathyroidism-jaw tumour syndrome	E,M	Rec	TSG	"Mis, N, F"	1	som&germ	27	532	0.1952	4.4694	0.04368	-8853.80408	-8853.807742	1	1	-8844.924777	-8844.926846	1	1	0	0	No
CDH1	"cadherin 1, type 1, E-cadherin (epithelial) (ECAD)"	16:68737416-68833499	yes	yes	"lobular breast, gastric"	gastric	familial gastric carcinoma	E	Rec	TSG	"Mis, N, F, S"	16	som&germ	25	883	1.2279	6.3728	0.19267	-25555.148796	-25541.86458	2.54366255836302e-07	4.27530976155631e-06	-25357.298312	-25354.84868	0.0268681444291511	0.15053050148127	4	5	Yes
CDH11	"cadherin 11, type 2, OB-cadherin (osteoblast)"	16:64947603-65004869	yes	no	aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	16	somatic	29	797	0.2179	5.9873	0.0364	-16023.286278	-16023.286314	1	1	-15966.354956	-15966.354956	1	1	0	0	No
CDK12	cyclin-dependent kinase 12	17:39462072-39531316	yes	no	serous ovarian			E	Rec	TSG	"Mis, N, F"	17	somatic	25	1492	0.3863	2.7665	0.13964	-25141.810915	-25141.810914	0.998871623070542	1	-25094.25884	-25092.799757	0.0875873621796808	0.398704971588755	0	1	No
CDK4	cyclin-dependent kinase 4	12:57748525-57751717	no	yes		melanoma	familial malignant melanoma	E	Dom	oncogene	Mis	12	germinal	26	304	0.395	3.6745	0.1075	-5801.163274	-5801.163274	1	1	-5794.233159	-5794.233159	1	1	0	0	No
CDK6	cyclin-dependent kinase 6	7:92615140-92833323	yes	no	ALL			L	Dom	"oncogene, fusion"	T	7	somatic	28	327	0.1621	3.3414	0.04852	-5071.299376	-5071.299376	1	1	-5054.476541	-5054.476541	1	1	0	1	No
CDKN1B	"cyclin-dependent kinase inhibitor 1B (p27, Kip1)"	12:12717840-12718946	yes	yes	"breast, small intestine neuroendocrine tumours"	"pituitary, parathyroid"	multiple endocrine neoplasia type IV	E	Rec	TSG	F	12	som&germ	29	199	1.1194	8.6637	0.12921	-5204.704858	-5204.704858	1	1	-5177.420768	-5177.420768	1	1	0	0	No
CDKN2C	"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"	1:50970369-50974270	yes	no	"glioma, MM"			O,L	Rec	TSG	D	1	somatic	30	169	0.3879	2.7604	0.14051	-2801.247058	-2801.247055	0.998045591872232	1	-2798.226578	-2793.616035	0.00239243593424721	0.0190089909684733	1	1	No
CDX2	caudal type homeo box transcription factor 2	13:27963115-27969006	yes	no	AML			L	Dom	"TSG, fusion"	T	13	somatic	23	314	0.4486	9.1008	0.0493	-6248.837065	-6248.837065	1	1	-6198.597323	-6198.597323	1	1	0	0	No
CHD4	chromodomain helicase DNA binding protein 4	12:6570676-6606373	yes	no	uterine serous carcinoma			E	Dom	oncogene	"Mis, F, N"	12	somatic	24	1913	0.2093	7.0014	0.0299	-29405.001073	-29405.000745	0.979566418270342	1	-29184.622363	-29184.622462	1	1	0	0	No
CHEK2	CHK2 checkpoint homolog (S. pombe)	22:28687897-28734721	no	yes		breast	familial breast cancer	E	Rec	TSG	F	22	germinal	24	539	1.0293	5.8674	0.17542	-14100.511	-14088.377338	8.38495098354208e-07	1.18200760638964e-05	-14032.729011	-14028.312921	0.0029596462325765	0.023095810779213	2	2	Yes
CIITA	"class II, major histocompatibility complex, transactivator"	16:10877332-10923304	yes	no	"PMBL, Hodgkin lymphoma"			L	Dom	"TSG, fusion"	T	16	somatic	27	1160	1.7681	8.6736	0.20385	-38082.946761	-38077.784221	0.00131234571656758	0.0117322857951163	-37819.06547	-37818.825274	0.488244810377439	1	0	5	No
CLIP1	CAP-GLY domain containing linker protein 1	12:122272875-122380452	yes	no	Spitzoid tumour			E	Dom	fusion	T	12	somatic	27	1439	0.6927	4.6438	0.14916	-32367.056925	-32367.057085	1	1	-32241.30051	-32241.30051	1	1	0	2	No
CNBP	"CCHC-type zinc finger, nucleic acid binding protein"	3:129170453-129171757	yes	no	aneurysmal bone cyst			M	Dom	"TSG, fusion"	T	3	somatic	27	178	0.6084	7.4655	0.0815	-2788.041744	-2788.041867	1	1	-2778.443847	-2778.4438	0.992264343364658	1	0	0	No
COL1A1	"collagen, type I, alpha 1"	17:50185502-50201513	yes	no	"DFSP, aneurysmal bone cyst"			M	Dom	fusion	T	17	somatic	26	1464	1.0746	3.8945	0.27593	-33238.903591	-33158.826907	0	0	-33186.098847	-33109.917243	0	0	16	21	Yes
COL2A1	"collagen, type II, alpha 1"	12:47973407-48004321	yes	no	"chondrosarcoma, enchondroma"			L,E,M	Rec	fusion	"F, Mis, N, T"	12	somatic	28	1488	0.3717	2.82	0.13181	-28629.873704	-28616.565633	2.4816169563735e-07	4.27530976155631e-06	-28606.302247	-28602.304826	0.00469107936949265	0.0347457912621743	2	11	Yes
CREB1	cAMP responsive element binding protein 1	2:207555637-207597059	yes	no	"clear cell sarcoma, angiomatoid fibrous histiocytoma"			M	Dom	"oncogene, fusion"	T	2	somatic	28	342	0.1022	2.4893	0.04107	-4198.078995	-4198.078995	1	1	-4189.460676	-4189.460635	0.99277494680789	1	0	0	No
CREB3L1	cAMP responsive element binding protein 3-like 1	11:46278112-46320746	yes	no	myxofibrosarcoma			M	Dom	"TSG, fusion"	T	11	somatic	29	521	0.6086	8.9111	0.0683	-11125.992519	-11125.992519	1	1	-11042.113761	-11041.550717	0.288611316416753	1	1	1	No
CREB3L2	cAMP responsive element binding protein 3-like 2	7:137880476-138001705	yes	no	fibromyxoid sarcoma			M	Dom	"oncogene, fusion"	T	7	somatic	30	521	0.6268	6.2818	0.09978	-12639.024587	-12639.024587	1	1	-12542.885505	-12542.885505	1	1	0	0	No
CREBBP	CREB binding protein (CBP)	16:3727718-3879916	yes	no	"ALL, AML, DLBCL, B-NHL"			L	Dom/Rec	"oncogene, TSG, fusion"	"T, N, F, Mis, O"	16	somatic	25	2444	0.3038	4.5095	0.06738	-43692.8192	-43692.8192	1	1	-43431.036032	-43431.036031	0.998871621018033	1	0	1	No
CRTC1	CREB regulated transcription coactivator 1	19:18683703-18777382	yes	no	salivary gland mucoepidermoid			E	Dom	"oncogene, fusion"	T	19	somatic	24	638	0.5057	8.0027	0.0632	-13282.627495	-13282.627495	1	1	-13156.618811	-13156.618811	1	1	0	0	No
